"osebuildingid","datayear","buildingname","buildingtype","taxparcelidentificationnumber","address","city","state","zipcode","latitude","longitude","neighborhood","councildistrictcode","yearbuilt","numberoffloors","numberofbuildings","propertygfatotal","propertygfabuildings","propertygfaparking","selfreportgfatotal","selfreportgfabuildings","selfreportparking","energystarscore","siteeuiwn_kbtu_sf","siteeui_kbtu_sf","siteenergyuse_kbtu","siteenergyusewn_kbtu","sourceeuiwn_kbtu_sf","sourceeui_kbtu_sf","epapropertytype","largestpropertyusetype","largestpropertyusetypegfa","secondlargestpropertyusetype","secondlargestpropertyuse","thirdlargestpropertyusetype","thirdlargestpropertyusetypegfa","electricity_kwh","steamuse_kbtu","naturalgas_therms","compliancestatus","complianceissue","electricity_kbtu","naturalgas_kbtu","totalghgemissions","ghgemissionsintensity","demolished"
"22261","2023","RUDD COMPANY","NonResidential","2768301991","1141 NW 50TH ST","SEATTLE","WA","98107","47.6644","-122.37246","BALLARD","6","1975","3","1","41478","41478","0","41478","41478","0","13","55.90000153","57.90000153","2401129","2317480","113.1999969","115.3000031","Non-Refrigerated Warehouse","Non-Refrigerated Warehouse","31932","Office","9546","NA",,"378928",,"11082","Compliant","No Issue","1292904","1108230","66.2","1.596","false"
"22264","2023","RUDD COMPANY","NonResidential","2768302361","1118 NW LEARY WAY","SEATTLE","WA","98107","47.66411","-122.37185","BALLARD","6","1980","1","1","39840","39840","0","39840","39840","0","6","18","18.10000038","720012","717019","50.40000153","50.59999847","Non-Refrigerated Warehouse","Non-Refrigerated Warehouse","39840","NA",,"NA",,"211023",,,"Compliant","No Issue","720011",,"4.2","0.105","false"
"22267","2023","LAUREN MAY APARTMENTS","Multifamily LR (1-4)","2767604205","5814 22ND AVE NW","SEATTLE","WA","98107","47.67151","-122.38454","BALLARD","6","1928","4","1","24828","24828","0","24828","24828","0","1","184.1999969","179.8999939","4465996","4572868","206.6000061","202.1000061","Multifamily LR (1-4)","Multifamily Housing","24828","NA",,"NA",,"54892",,"42787","Compliant","No Issue","187293","4278700","227.9","9.179","false"
"22279","2023","KRISTINE APTS","Multifamily LR (1-4)","2767604310","5800 22ND AVE NW","SEATTLE","WA","98107","47.67117","-122.38422","BALLARD","6","1987","4","1","43380","32776","10604","27860","27860","0","92","24","24.20000076","673301","668927","67.19999695","67.69999695","Multifamily LR (1-4)","Multifamily Housing","27860","NA",,"NA",,"197333",,,"Compliant","No Issue","673301",,"3.9","0.14","false"
"22282","2023","SCHWABACHER HOUSE","Multifamily LR (1-4)","2767604370","1715 NW 59TH ST","SEATTLE","WA","98107","47.67136","-122.37982","BALLARD","6","1984","4","1","36248","36248","0","36248","36248","0","77","27.10000038","27.39999962","994846","982237","75.90000153","76.80000305","Multifamily LR (1-4)","Multifamily Housing","36248","NA",,"NA",,"291573",,,"Compliant","No Issue","994846",,"5.8","0.16","false"
"22290","2023","SUNRISE MANOR","Multifamily LR (1-4)","2767604660","1530 NW 57TH ST","SEATTLE","WA","98107","47.67042","-122.37749","BALLARD","6","1985","4","1","26347","26347","0","26347","26347","0","52","32.40000153","33.09999847","873040","853236","90.69999695","92.80000305","Multifamily LR (1-4)","Multifamily Housing","26347","NA",,"NA",,"255873",,,"Compliant","No Issue","873040",,"5.1","0.194","false"
"22294","2023","LIAM APTS","Multifamily MR (5-9)","2767604780","1710 NW 57TH ST","SEATTLE","WA","98107","47.67043","-122.37975","BALLARD","6","1989","5","1","53041","53041","0","44762","44760","2",,,,,,,,"Multifamily MR (5-9)","Multifamily Housing","30720","Parking","1","NA",,"230682",,,"Compliant","No Issue","787085",,"4.6","0.103","false"
"22299","2023","BALLARD ON THE PARK APARTMENTS","Multifamily MR (5-9)","2767604965","2233 NW 58TH ST","SEATTLE","WA","98107","47.67077","-122.38628","BALLARD","6","2009","8","1","447755","326475","121280","447441","326161","121280","100","31.20000076","31.39999962","10238686","10161598","68.5","69","Multifamily MR (5-9)","Multifamily Housing","282899","Parking","121280","Supermarket/Grocery Store","42587","1970698",,"35147","Compliant","No Issue","6724022","3514660","225.3","0.691","false"
"22308","2023","BALLARD HOUSE","Multifamily MR (5-9)","2767700100","2445 NW 57TH ST","SEATTLE","WA","98107","47.66967","-122.38966","BALLARD","6","1969","7","1","52926","52926","0","52926","52926","0","20","57","59.5","3149110","3018542","146","152.3999939","Multifamily MR (5-9)","Multifamily Housing","52926","NA",,"NA",,"796903",,"4301","Compliant","No Issue","2719034","430080","38.6","0.729","false"
"22314","2023","APARTMENTS","Multifamily MR (5-9)","2767700375","1753 NW 57TH ST","SEATTLE","WA","98107","47.66994","-122.38124","BALLARD","6","1999","6","1","46070","33850","12220","46070","46070","0","97","24.39999962","24.60000038","833156","824733","68.19999695","68.90000153","Multifamily MR (5-9)","Multifamily Housing","33850","NA",,"NA",,"244184",,,"Compliant","No Issue","833156",,"4.8","0.104","false"
"22315","2023","BALLARD 57","Multifamily LR (1-4)","2767700395","1731 NW 57TH ST","SEATTLE","WA","98107","47.66992","-122.38033","BALLARD","6","2016","6","1","23349","23349","0","23349","23349","0","98","34","34.29999924","800816","793106","74.30000305","74.59999847","Multifamily MR (5-9)","Multifamily Housing","23349","NA",,"NA",,"151045",,"2854","Compliant","No Issue","515365","285450","18.1","0.775","false"
"22323","2023","THE LANDMARK","Multifamily MR (5-9)","2767700765","1737 NW 56TH ST","SEATTLE","WA","98107","47.66923","-122.38046","BALLARD","6","1993","6","1","40740","28657","12083","40740","28657","12083","87","35.40000153","35.90000153","1029649","1015119","95.19999695","96.30000305","Multifamily MR (5-9)","Multifamily Housing","24572","Parking","12083","Office","4085","281193",,"702","Compliant","No Issue","959430","70220","9.3","0.325","false"
"22327","2023","OCCIDENTAL LODGE - BALLARD MASONIC TEMPLE","NonResidential","2767700935","2006 NW MARKET ST","SEATTLE","WA","98107","47.66894","-122.38242","BALLARD","6","1924","2","1","21528","21528","0","0","0","0",,,,,,,,"Social/Meeting Hall","Social/Meeting Hall","21528","NA",,"NA",,,,,"Not Compliant","Portfolio Manager Not Connected to the City of Seattle",,,,,"false"
"22332","2023","BALLARD SQUARE","NonResidential","2767701080","2228 NW MARKET ST","SEATTLE","WA","98107","47.66908","-122.38627","BALLARD","6","1928","2","1","30000","30000","0","38328","25828","12500",,"36.79999924","35.90000153","927146","949245","93.09999847","90.40000153","Strip Mall","Strip Mall","25828","Parking",,"NA",,"228054",,"1490","Compliant","No Issue","778121","149030","12.4","0.48","false"
"22334","2023","LEVA ON MARKET APTS","Multifamily MR (5-9)","2767701230","1545 NW MARKET ST","SEATTLE","WA","98107","47.66842","-122.37834","BALLARD","6","2008","8","1","361727","243928","117799","353054","235255","117799","100","33.40000153","34.59999847","8133596","7857856","68.90000153","70.19999695","Multifamily MR (5-9)","Multifamily Housing","235255","Parking","117799","NA",,"1334206",,"35813","Compliant","No Issue","4552311","3581290","216.2","0.919","false"
"22339","2023","511 WEST MERCER PLACE","Multifamily MR (5-9)","2569910000","511 W MERCER PL","SEATTLE","WA","98119","47.6249","-122.36459","MAGNOLIA / QUEEN ANNE","7","2003","5","1","28879","28879","0","24070","24070","0",,"34.79999924","35.70000076","858312","838296","78.09999847","79.19999695","Multifamily MR (5-9)","Multifamily Housing","24070","NA",,"NA",,"168296",,"2841","Compliant","No Issue","574227","284090","18.4","0.764","false"
"22340","2023","515 FIRST AVENUE WEST CONDOMINIUM","Multifamily LR (1-4)","2569930000","515 1ST AVE W","SEATTLE","WA","98119","47.62374","-122.35829","MAGNOLIA / QUEEN ANNE","7","1997","4","1","20406","20406","0","17006","17006","0",,"32.09999847","32.59999847","555100","545072","67.30000305","68.09999847","Multifamily LR (1-4)","Multifamily Housing","14608","Personal Services (Health/Beauty, Dry Cleaning, etc)","2398","NA",,"96380",,"2262","Compliant","No Issue","328850","226250","13.9","0.817","false"
"22347","2023","FIX BUILDING THE CONDOMINIUM","Multifamily MR (5-9)","2570280000","1507 WESTERN AVE","SEATTLE","WA","98101","47.60846","-122.34167","DOWNTOWN","7","1910","6","1","34909","34909","0","34909","34909","0","97","18.79999924","19.39999962","678510","656280","52.59999847","54.40000153","Multifamily MR (5-9)","Multifamily Housing","34909","NA",,"NA",,"198860",,,"Compliant","No Issue","678510",,"3.9","0.112","false"
"22351","2023","FLORENTINE CONDOMINIUM","Multifamily MR (5-9)","2585000000","536 1ST AVE S","SEATTLE","WA","98104","47.59731","-122.33369","DOWNTOWN","1","1909","6","1","201656","201656","0","167429","167429","0","89","22.29999924","22.79999924","3809272","3741839","62.59999847","63.70000076","Multifamily MR (5-9)","Multifamily Housing","152893","Retail Store","14536","NA",,"1116434",,,"Compliant","No Issue","3809273",,"22.1","0.132","false"
"22352","2023","FLORERA","Multifamily LR (1-4)","2586900000","413 NE 70TH ST","SEATTLE","WA","98115","47.67903","-122.32412","NORTHWEST","6","2007","4","1","82486","82486","0","84856","73496","11360","97","28","28","2058304","2058304","58.70000076","58.70000076","Multifamily LR (1-4)","Multifamily Housing","52357","Bank Branch","15157","Parking","11360","360402",,"8286","Compliant","No Issue","1229690","828610","51","0.694","false"
"22353","2023","PARKWAY HOUSE","Multifamily LR (1-4)","2589300006","7401 RAINIER AVE S","SEATTLE","WA","98118","47.53558","-122.27061","SOUTHEAST","2","1959","3","1","45201","45201","0","45201","45201","0","85","28.29999924","28.60000038","1293784","1279886","79.30000305","80.09999847","Multifamily LR (1-4)","Multifamily Housing","45201","NA",,"NA",,"379186",,,"Compliant","No Issue","1293784",,"7.5","0.166","false"
"22354","2023","THE FONTANELLE","Multifamily LR (1-4)","2589300045","7325 RAINIER AVE S","SEATTLE","WA","98118","47.53628","-122.27074","SOUTHEAST","2","1962","3","1","43330","43330","0","43330","43330","0","81","26.29999924","26.5","1149997","1140002","73.69999695","74.30000305","Multifamily LR (1-4)","Multifamily Housing","43330","NA",,"NA",,"337045",,,"Compliant","No Issue","1149996",,"6.7","0.155","false"
"22356","2023","FORTUNE VIEW CONDOMINIUM","Multifamily LR (1-4)","2607790000","1819 E DENNY WAY","SEATTLE","WA","98122","47.6182","-122.30779","CENTRAL","3","1996","3","1","32112","32112","0","32112","32112","0","79","34.5","35.40000153","1135732","1108120","75.69999695","77.5","Multifamily LR (1-4)","Multifamily Housing","32112","NA",,"NA",,"216832",,"3959","Compliant","No Issue","739830","395900","25.3","0.788","false"
"22361","2023","41ST AVENUE CONDOMINIUM","Multifamily MR (5-9)","2607870000","4752 41ST AVE SW","SEATTLE","WA","98116","47.5595","-122.3839","SOUTHWEST","1","2005","5","1","29888","29888","0","51621","31263","20358","99","31.60000038","32.29999924","1011296","987822","72.80000305","74.19999695","Multifamily MR (5-9)","Multifamily Housing","31263","Parking","20358","NA",,"210674",,"2925","Compliant","No Issue","718821","292480","19.7","0.63","false"
"22363","2023","FORTE' CONDOMINIUM","Multifamily LR (1-4)","2607980000","840 NE 125TH ST","SEATTLE","WA","98125","47.71965","-122.31877","NORTHWEST","5","1988","4","1","47647","47647","0","47647","47647","0","63","30","30.10000038","1433762","1428044","83.90000153","84.30000305","Multifamily LR (1-4)","Multifamily Housing","47647","NA",,"NA",,"420212",,,"Compliant","No Issue","1433762",,"8.3","0.174","false"
"22371","2023","420 MELROSE CONDOMINIUM","Multifamily HR (10+)","2617480000","420 MELROSE AVE E","SEATTLE","WA","98102","47.62272","-122.32742","EAST","3","1992","10","1","31152","31152","0","0","0","0",,,,,,,,"Multifamily HR (10+)","Multifamily Housing","25968","NA",,"NA",,,,,"Not Compliant","Portfolio Manager Not Connected to the City of Seattle",,,,,"false"
"22372","2023","1400 TAYLOR CONDOMINIUM","Multifamily LR (1-4)","2617550000","1400 TAYLOR AVE N","SEATTLE","WA","98109","47.63162","-122.34582","MAGNOLIA / QUEEN ANNE","7","1984","3","1","23210","21788","1422","23210","21788","1422",,"22.79999924","23","501852","497804","64","64.5","Multifamily LR (1-4)","Multifamily Housing","21788","Parking","1422","NA",,"147084",,,"Compliant","No Issue","501852",,"2.9","0.133","false"
"22390","2023","FREMONT VISTA CONDOMINIUM","Multifamily LR (1-4)","2646600000","3633 FREMONT AVE N","SEATTLE","WA","98103","47.65246","-122.35029","LAKE UNION","6","1979","4","1","27533","27533","0","27533","27533","0","57","33.20000076","33.70000076","927519","913230","84.5","85.30000305","Multifamily LR (1-4)","Multifamily Housing","27533","NA",,"NA",,"230070",,"1425","Compliant","No Issue","784999","142520","12.1","0.439","false"
"22395","2023","LILAC LODGE","Multifamily LR (1-4)","2660500400","5033 37TH AVE S","SEATTLE","WA","98118","47.55609","-122.28651","SOUTHEAST","2","1969","3","1","30216","30216","0","30216","30216","0","70","31.60000038","32.20000076","972285","955439","88.5","90.09999847","Multifamily LR (1-4)","Multifamily Housing","30216","NA",,"NA",,"284960",,,"Compliant","No Issue","972285",,"5.6","0.185","false"
"22397","2023","FUJISADA CONDOMINIUM","Multifamily MR (5-9)","2662650000","510 6TH AVE S","SEATTLE","WA","98104","47.59802","-122.32599","DOWNTOWN","2","1999","8","1","35364","32335","3029","35364","28164","7200","79","48.59999847","49.40000153","1391966","1368661","108.4000015","109.8000031","Multifamily MR (5-9)","Multifamily Housing","23125","Parking","7200","Medical Office","5039","273218",,"4598","Compliant","No Issue","932220","459750","29.8","1.058","false"
"22414","2023","RUSSELL PARK APARTMENTS","Multifamily LR (1-4)","2767703760","5210 RUSSELL AVE NW","SEATTLE","WA","98107","47.66634","-122.38004","BALLARD","6","1960","4","1","41076","41076","0","41046","41046","0","92","22.70000076","22.89999962","938854","931885","63.59999847","64","Multifamily LR (1-4)","Multifamily Housing","41046","NA",,"NA",,"275162",,,"Compliant","No Issue","938854",,"5.4","0.132","false"
"22418","2023","CENTRAL PARK APTS 30 UNITS","Multifamily LR (1-4)","2767703835","1819 NW CENTRAL PL","SEATTLE","WA","98107","47.66662","-122.38034","BALLARD","6","1960","4","1","24948","24948","0","24948","24948","0",,"28.10000038","26.70000076","664973","701456","78.69999695","74.59999847","Multifamily LR (1-4)","Multifamily Housing","24948","NA",,"NA",,"194892",,,"Compliant","No Issue","664973",,"3.9","0.156","false"
"22420","2023","CENTURYLINK: SUNSET CO","NonResidential","2767704040","1138 NW 63RD ST","SEATTLE","WA","98107","47.67482","-122.37316","BALLARD","6","1942","2","1","30087","30087","0","31759","31759","0",,"127.8000031","124.9000015","3817018","3905440","357.8999939","349.7999878","Other","Other","30554","NA",,"NA",,"1118704",,,"Compliant","No Issue","3817018",,"22.1","0.696","false"
"22438","2023","BALLARD 14 LLC BLDG","NonResidential","2768302590","1401 NW 50TH ST","SEATTLE","WA","98107","47.66458","-122.3743","BALLARD","6","1975","1","1","40445","40445","0","38508","38508","0","67","26.20000076","27.20000076","1045616","1007674","51.5","52.5","Non-Refrigerated Warehouse","Non-Refrigerated Warehouse","27280","Office","11228","Electric Vehicle Charging Station",,"154828",,"5173","Compliant","No Issue","528272","517340","30.5","0.792","false"
"22440","2023","OFFICE MAX","NonResidential","2768302800","1135 NW LEARY WAY","SEATTLE","WA","98107","47.66318","-122.37283","BALLARD","6","1996","1","1","23500","23500","0","23500","23500","0",,,,,,,,"Retail Store","Retail Store","23500","NA",,"NA",,"373000",,,"Not Compliant","Missing EUI, Incomplete Fuel Data","1272675",,"7.4","0.315","false"
"22446","2023","SALTY DOG STUDIO","NonResidential","2768303115","4602 14TH AVE NW","SEATTLE","WA","98107","47.66236","-122.37324","BALLARD","6","1903","3","1","24913","24913","0","24913","24913","0","98","5.300000191","5.400000095","133414","131139","13.5","13.60000038","Non-Refrigerated Warehouse","Non-Refrigerated Warehouse","24913","NA",,"NA",,"33197",,"201","Compliant","No Issue","113270","20140","1.7","0.068","false"
"22454","2023","GOODWILL BALLARD","NonResidential","2769601465","6400 8TH AVE NW","SEATTLE","WA","98107","47.67518","-122.36549","BALLARD","6","1967","1","1","22420","22420","0","22069","22069","0","64","71.30000305","70.5","1555764","1573696","137.6000061","132.6000061","Retail Store","Retail Store","22069","NA",,"NA",,"216477",,"8171","Not Compliant","Missing EUI, Incomplete Fuel Data","738619","817140","47.6","2.157","false"
"22460","2023","GILMANOR APARTMENTS","Multifamily LR (1-4)","2770100000","4051 GILMAN AVE W","SEATTLE","WA","98199","47.65661","-122.38781","MAGNOLIA / QUEEN ANNE","6","1968","4","1","23728","23728","0","23728","23728","0","91","24.10000038","24.20000076","575391","571516","67.40000153","67.90000153","Multifamily LR (1-4)","Multifamily Housing","23728","NA",,"NA",,"168637",,,"Compliant","No Issue","575391",,"3.3","0.139","false"
"22470","2023","TEMPO APTS -2305, -2310, -2300","Multifamily LR (1-4)","2770602300","2015 W DRAVUS ST","SEATTLE","WA","98199","47.64823","-122.38276","MAGNOLIA / QUEEN ANNE","7","2007","4","1","42763","28880","13883","42763","28880","13883","78","35.79999924","36.40000153","1050601","1034711","93.69999695","95.80000305","Multifamily LR (1-4)","Multifamily Housing","24419","Parking","13883","Office","2974","278810",,"993","Compliant","No Issue","951301","99300","10.8","0.374","false"
"22479","2023","QFC INTERBAY","NonResidential","2770602660","3225 16TH AVE W","SEATTLE","WA","98119","47.64909","-122.37788","MAGNOLIA / QUEEN ANNE","7","1961","1","1","25842","25842","0","25987","25987","0","37","409.1000061","409.2000122","10634839","10632240","696.9000244","697.2000122","Supermarket/Grocery Store","Supermarket/Grocery Store","25987","NA",,"NA",,"1164153",,"66628","Compliant","No Issue","3972090","6662750","376.2","14.476","false"
"22480","2023","OFFICE & SPORTS CLUB","NonResidential","2770602690","3257 16TH AVE W","SEATTLE","WA","98119","47.65018","-122.37787","MAGNOLIA / QUEEN ANNE","7","1992","3","1","26389","26389","0","26389","26389","0",,"24.60000038","24.60000038","649165","649165","68.90000153","68.90000153","Office","Office","16766","Fitness Center/Health Club/Gym","9623","NA",,"190259",,,"Compliant","No Issue","649165",,"3.8","0.144","false"
"22482","2023","AXLE","Multifamily MR (5-9)","2770603030","3230 16TH AVE W","SEATTLE","WA","98119","47.64978","-122.37713","MAGNOLIA / QUEEN ANNE","7","2017","8","1","250867","184276","66591","297176","250867","46309","96","29.39999962","29.70000076","6509472","6452154","64.09999847","64.80000305","Multifamily MR (5-9)","Multifamily Housing","219220","NA",,"NA",,"1234089",,"22988","Compliant","No Issue","4210712","2298760","146.3","0.583","false"
"22486","2023","CANAL BUILDING","NonResidential","2770603315","3600 15TH AVE W","SEATTLE","WA","98119","47.65252","-122.37587","MAGNOLIA / QUEEN ANNE","7","1982","3","1","25859","25859","0","24474","20474","4000","80","33.59999847","34.40000153","889276","868400","77.5","78.30000305","Office","Office","25859","Parking","4000","NA",,"182899",,"2652","Compliant","No Issue","624052","265220","17.7","0.865","false"
"22502","2023","COMMODORE","NonResidential","2771605265","2440 W COMMODORE WAY","SEATTLE","WA","98199","47.66238","-122.38831","MAGNOLIA / QUEEN ANNE","6","1974","1","1","25600","25600","0","59381","59381","0","2","42.79999924","43.59999847","1116165","1094795","108.9000015","110.9000015","Non-Refrigerated Warehouse","Non-Refrigerated Warehouse","20600","Office","5000","NA",,"279025",,"1641","Compliant","No Issue","952034","164130","14.2","0.239","false"
"22504","2023","MER EQUIPEMENT INC","NonResidential","2771605305","2400 W COMMODORE WAY","SEATTLE","WA","98199","47.66126","-122.38751","MAGNOLIA / QUEEN ANNE","6","1965","1","1","23169","23169","0","10200","10200","0",,"21.20000076","21.20000076","215762","215762","59.20000076","59.20000076","Manufacturing/Industrial Plant","Manufacturing/Industrial Plant","10200","NA",,"NA",,"63236",,,"Compliant","No Issue","215763",,"1.3","0.127","false"
"22509","2023","SALMON BAY LANDING","NonResidential","2771605313","2320 W COMMODORE WAY","SEATTLE","WA","98199","47.66106","-122.38576","MAGNOLIA / QUEEN ANNE","6","2008","4","1","41784","33385","8399","41784","33385","8399","80","39.40000153","39.40000153","1315324","1313749","110.1999969","110.3000031","Office","Office","33385","Parking","8399","NA",,"385500",,,"Compliant","No Issue","1315325",,"7.6","0.228","false"
"22511","2023","W COMMODORE (combined with 22510)","NonResidential","2771605365","2500 W COMMODORE WAY","SEATTLE","WA","98199","47.66206","-122.38948","MAGNOLIA / QUEEN ANNE","6","1960","1","2","56884","56884","0","56884","56884","0","68","38.5","31.39999962","1787876","2190258","54","46.59999847","Non-Refrigerated Warehouse","Non-Refrigerated Warehouse","56884","NA",,"NA",,"129760",,"13451","Compliant","No Issue","442742","1345130","73.9","1.299","false"
"22512","2023","GILMAN'S FAIRWAY CONDOMINIUM","Multifamily MR (5-9)","2772500000","2530 15TH AVE W","SEATTLE","WA","98119","47.64154","-122.37565","MAGNOLIA / QUEEN ANNE","7","2000","6","1","34582","34582","0","30634","17334","13300",,,,,,,,"Multifamily MR (5-9)","Multifamily Housing","17334","Parking","13300","NA",,,,,"Not Compliant","Missing EUI or Utility Data",,,,,"false"
"22517","2023","CROWN POINT APTS","Multifamily LR (1-4)","2776600104","8508 MARY AVE NW","SEATTLE","WA","98117","47.69108","-122.37505","BALLARD","5","1988","3","1","32076","23835","8241","32076","23835","8241","91","25.89999962","26.20000076","624971","617495","72.5","73.40000153","Multifamily LR (1-4)","Multifamily Housing","23835","Parking","8241","NA",,"183168",,,"Compliant","No Issue","624971",,"3.6","0.151","false"
"22521","2023","GARDEN COURT APARTMENTS","Multifamily LR (1-4)","2784100055","119 19TH AVE E","SEATTLE","WA","98112","47.61927","-122.30764","CENTRAL","3","1999","3","1","42260","30716","11544","42260","30716","11544","76","27.39999962","27.79999924","852827","840726","76.59999847","77.69999695","Multifamily LR (1-4)","Multifamily Housing","30716","Parking",,"NA",,"249949",,,"Compliant","No Issue","852827",,"4.9","0.16","false"
"22524","2023","LITTLE FIELD","Multifamily LR (1-4)","2784600070","1820 E JOHN ST","SEATTLE","WA","98112","47.61994","-122.30765","CENTRAL","3","1910","3","1","22704","22704","0","22704","22704","0","33","85.19999695","88.5","2009736","1934806","105.8000031","109.4000015","Multifamily LR (1-4)","Multifamily Housing","22704","NA",,"NA",,"62388",,"17969","Compliant","No Issue","212870","1796870","96.5","4.25","false"
"22547","2023","MINI-WAREHOUSE","NonResidential","2770603945","2656 15TH AVE W","SEATTLE","WA","98119","47.64455","-122.37581","MAGNOLIA / QUEEN ANNE","7","1980","3","1","30989","30989","0","30989","30989","0","81","3.700000048","3.799999952","116980","115812","10.5","10.60000038","Non-Refrigerated Warehouse","Non-Refrigerated Warehouse","30989","NA",,"NA",,"34285",,,"Compliant","No Issue","116980",,"0.7","0.023","false"
"22548","2023","SELF STORAGE MINI WAREHOUSE","NonResidential","2770603955","2648 15TH AVE W","SEATTLE","WA","98119","47.64418","-122.37587","MAGNOLIA / QUEEN ANNE","7","1915","3","1","39952","39952","0","43975","39950","4025",,"1.200000048","1.200000048","52017","52017","3.5","3.5","Self-Storage Facility","Self-Storage Facility","42192","Parking",,"NA",,"15245",,,"Compliant","No Issue","52017",,"0.3","0.008","false"
"22550","2023","GOLFCREST APARTMENTS","Multifamily LR (1-4)","2770604035","2633 14TH AVE W","SEATTLE","WA","98119","47.64408","-122.37511","MAGNOLIA / QUEEN ANNE","7","1963","4","1","28674","28674","0","28674","28674","0","88","23.60000038","24.29999924","698071","677463","62.79999924","64.30000305","Multifamily LR (1-4)","Multifamily Housing","28674","NA",,"NA",,"186248",,"626","Compliant","No Issue","635476","62590","7","0.244","false"
"22553","2023","FOUNTAIN COURT APTS","Multifamily LR (1-4)","2770604120","2516 14TH AVE W","SEATTLE","WA","98119","47.64137","-122.37449","MAGNOLIA / QUEEN ANNE","7","1962","3","1","21240","21240","0","21240","21240","0","82","24.20000076","25.20000076","535489","514740","67.90000153","70.59999847","Multifamily LR (1-4)","Multifamily Housing","21240","NA",,"NA",,"156943",,,"Compliant","No Issue","535489",,"3.1","0.146","false"
"22569","2023","WHARFSIDE POINTE","Multifamily LR (1-4)","2770604820","3814 14TH AVE W","SEATTLE","WA","98119","47.65487","-122.37462","MAGNOLIA / QUEEN ANNE","7","1990","4","1","115575","115575","0","119683","119683","0","74","35.90000153","36.29999924","4340321","4300978","81.59999847","82.30000305","Multifamily LR (1-4)","Multifamily Housing","119683","NA",,"NA",,"887153",,"13134","Compliant","No Issue","3026967","1313350","87.2","0.729","false"
"22574","2023","NICKERSON BUSINESS CENTER","NonResidential","2770604870","3837 13TH AVE W","SEATTLE","WA","98119","47.65504","-122.37402","MAGNOLIA / QUEEN ANNE","7","1961","2","1","20022","20022","0","20784","20784","0","80","28.70000076","29.5","613551","597506","80.5","82.69999695","Office","Office","20784","NA",,"NA",,"179822",,,"Compliant","No Issue","613551",,"3.6","0.173","false"
"22577","2023","WAREHOUSE","NonResidential","2770605690","1200 W NICKERSON ST","SEATTLE","WA","98119","47.65563","-122.37194","MAGNOLIA / QUEEN ANNE","7","1960","2","1","36498","36498","0","36652","36652","0","86","15.89999962","16.60000038","607524","581598","31.5","32.20000076","Non-Refrigerated Warehouse","Non-Refrigerated Warehouse","33403","Office","3249","NA",,"90972",,"2971","Compliant","No Issue","310398","297130","17.5","0.477","false"
"22579","2023","WHSE","NonResidential","2770606119","2601 W COMMODORE WAY","SEATTLE","WA","98199","47.66161","-122.39075","MAGNOLIA / QUEEN ANNE","6","1968","1","1","35946","35946","0","35946","35946","0","62","11.5","11.69999981","420302","413448","23.29999924","23.5","Distribution Center","Distribution Center","35946","NA",,"NA",,"67606",,"1896","Compliant","No Issue","230670","189630","11.4","0.317","false"
"22585","2023","OFFICE BUILDING WITH CARETAKER UNIT","NonResidential","2770606573","2303 W COMMODORE WAY","SEATTLE","WA","98199","47.66006","-122.38631","MAGNOLIA / QUEEN ANNE","6","2007","4","1","30152","24472","5680","30152","25184","4968","91","33.29999924","32.59999847","820208","837760","92.40000153","90.40000153","Office","Office","25184","Parking","4968","NA",,"237114",,"112","Compliant","No Issue","809034","11170","5.3","0.21","false"
"22607","2023","SALMON BAY FISHERIES BLDG","NonResidential","2771100445","4241 21ST AVE W","SEATTLE","WA","98199","47.65881","-122.38382","MAGNOLIA / QUEEN ANNE","6","1979","4","1","22365","22365","0","21617","21617","0","72","28.10000038","27","583577","608195","78.80000305","75.59999847","Office","Office","21617","NA",,"NA",,"171037",,,"Compliant","No Issue","583577",,"3.4","0.157","false"
"22609","2023","OFFICE BLDG","NonResidential","2771100510","4209 21ST AVE W","SEATTLE","WA","98199","47.65801","-122.3839","MAGNOLIA / QUEEN ANNE","6","1994","4","1","30172","30172","0","30172","30172","0","91","17.20000076","17.39999962","524684","519977","48.29999924","48.70000076","Office","Office","30172","NA",,"NA",,"153776",,,"Compliant","No Issue","524684",,"3","0.099","false"
"22611","2023","GALLAGHER APARTMENTS","Multifamily MR (5-9)","2767701375","1521 NW 54TH ST","SEATTLE","WA","98107","47.6677","-122.37717","BALLARD","6","2008","6","1","75638","50179","25459","50179","50179","0","92","28.20000076","28.39999962","1422982","1415514","79","79.40000153","Multifamily MR (5-9)","Multifamily Housing","50179","NA",,"NA",,"417052",,,"Compliant","No Issue","1422982",,"8.3","0.165","false"
"22627","2023","CANAL PLACE","Multifamily LR (1-4)","2767701580","5110 17TH AVE NW","SEATTLE","WA","98107","47.66624","-122.37861","BALLARD","6","1988","3","1","23466","17395","6071","24016","24016","0","93","18.20000076","18.39999962","442441","436722","50.90000153","51.59999847","Multifamily LR (1-4)","Multifamily Housing","17945","Non-Refrigerated Warehouse","6071","NA",,"129672",,,"Compliant","No Issue","442441",,"2.6","0.108","false"
"22632","2023","THE CAMERON","Multifamily MR (5-9)","2767701615","1515 NW 52ND ST","SEATTLE","WA","98107","47.66623","-122.37714","BALLARD","6","1990","5","1","30199","24165","6034","30199","24165","6034","93","29.5","29.89999962","721789","712707","82.59999847","83.59999847","Multifamily MR (5-9)","Multifamily Housing","24165","Parking","6034","NA",,"211544",,,"Compliant","No Issue","721789",,"4.2","0.174","false"
