"osebuildingid","datayear","buildingname","buildingtype","taxparcelidentificationnumber","address","city","state","zipcode","latitude","longitude","neighborhood","councildistrictcode","yearbuilt","numberoffloors","numberofbuildings","propertygfatotal","propertygfabuildings","propertygfaparking","selfreportgfatotal","selfreportgfabuildings","selfreportparking","energystarscore","siteeuiwn_kbtu_sf","siteeui_kbtu_sf","siteenergyuse_kbtu","siteenergyusewn_kbtu","sourceeuiwn_kbtu_sf","sourceeui_kbtu_sf","epapropertytype","largestpropertyusetype","largestpropertyusetypegfa","secondlargestpropertyusetype","secondlargestpropertyuse","thirdlargestpropertyusetype","thirdlargestpropertyusetypegfa","electricity_kwh","steamuse_kbtu","naturalgas_therms","compliancestatus","complianceissue","electricity_kbtu","naturalgas_kbtu","totalghgemissions","ghgemissionsintensity","demolished"
"21","2025","Central - Seattle Public Library","NonResidential","942000275","1000 4TH AVE","SEATTLE","WA","98104","47.60648528122","-122.33296826991","DOWNTOWN","7","2004","11","1","412000","355000","57000","414987","365987","49000",,"35.6","35.6","13020536","13016482","96.3","96.3","Library","Library","364913","Parking","49000","Data Center","1074","3591789","765354",,"Compliant","No Issue","12255184",,"133.11","0.36","false"
"22","2025","Downtown Seattle Ymca","NonResidential","942000350","909 4TH AVE","SEATTLE","WA","98104","47.605458125973","-122.3327904595","DOWNTOWN","7","1930","6","1","103911","103911","0","97231","97231","0",,"86.2","86.3","8389894","8386045","189.4","189.4","Fitness Center/Health Club/Gym","Fitness Center/Health Club/Gym","87231","Multifamily Housing","10000","NA",,"1530524","3132638","351","Compliant","No Issue","5222148","35110","285.89","2.94","false"
"23","2025","Renaissance Madison Hotel","NonResidential","942000430","515 MADISON ST","SEATTLE","WA","98104","47.606811914111","-122.33078166693","EAST","7","1983","28","1","460902","375902","85000","460902","375902","85000","63","74.5","74.8","28122298","27994340","163.1","164.1","Hotel","Hotel","375902","Parking","85000","NA",,"5384380",,"97508","Compliant","No Issue","18371505","9750790","622.61","1.66","false"
"24","2025","Rainier Club (Historical Landmark)","NonResidential","942000510","810 4TH AVE","SEATTLE","WA","98104","47.605152612754","-122.33158661631","DOWNTOWN","7","1907","5","1","57452","57452","0","57452","57452","0",,"122.3","122.7","7050381","7024836","224.9","225.4","Mixed Use Property","Social/Meeting Hall","16442","Restaurant","15505","Office","9741","882535","1844408","21948","Compliant","No Issue","3011210","2194760","283","4.93","false"
"25","2025","Arctic Club Hotel - Seattle","NonResidential","942000610","700 3RD AVE","SEATTLE","WA","98104","47.603758814821","-122.33193530141","DOWNTOWN","7","1916","10","1","104352","104352","0","104352","104352","0","70","71.9","72","7513472","7499230","147.6","148","Hotel","Hotel","104352","NA",,"NA",,"1221160","1737270","16096","Compliant","No Issue","4166598","1609610","250.11","2.4","false"
"26","2025","King County Courthouse","NonResidential","942000860","516 3RD AVE","SEATTLE","WA","98104","47.602650876559","-122.33051025564","DOWNTOWN","1","1916","10","1","540360","540360","0","537150","537150","0","56","95.2","95.6","51326588","51120468","168.7","169.1","Courthouse","Courthouse","501287","Barracks","35863","NA",,"6190512",,"302046","Compliant","No Issue","21122027","30204559","1712.43","3.19","false"
"27","2025","King County Correctional Facility","NonResidential","942001010","500 5TH AVE","SEATTLE","WA","98104","47.603777384819","-122.32842195674","EAST","7","1985","19","1","385274","339315","45959","385274","339315","45959",,"127.4","127.9","43391648","43214740","210.7","211.9","Prison/Incarceration","Prison/Incarceration","339315","Parking","45959","NA",,"4409464",,"283466","Compliant","No Issue","15045091","28346559","1586.01","4.67","false"
"28","2025","Graham Hill Elementary School (Sps-District)","School","1102000138","5101 S GRAHAM ST","SEATTLE","WA","98118","47.545757301217","-122.26853422887","SOUTHEAST","2","1961","2","1","56228","56228","0","55715","55715","0","95","20.9","21","1167640","1167066","46.5","46.5","K-12 School","K-12 School","55715","NA",,"NA",,"228896",,"3866","Compliant","No Issue","780995","386640","25.02","0.45","false"
"29","2025","Watertown Hotel","NonResidential","1142000755","4242 ROOSEVELT WAY NE","SEATTLE","WA","98105","47.659576817304","-122.31737789931","NORTHEAST","4","2001","6","1","88592","58006","30586","98356","67770","30586","97","50.5","50.5","3424303","3424303","104.6","104.6","Hotel","Hotel","67770","Parking","30586","NA",,"585182",,"14277","Compliant","No Issue","1996640","1427660","87.25","1.29","false"
"30","2025","Cornish (Main Campus Center)","University","660001420","1000 LENORA ST","SEATTLE","WA","98121","47.618156127602","-122.33628719284","LAKE UNION","7","1928","7","1","126593","126593","0","126593","126593","0",,,,,,,,"College/University","College/University","126593","NA",,"NA",,"1097193",,,"Not Compliant","Missing EUI or Utility Data","3743623",,,,"false"
"33","2025","Springhill Suites Seattle Downtown","NonResidential","660002680","1800 YALE AVE","SEATTLE","WA","98101","47.617840340436","-122.32965714167","LAKE UNION","7","2001","10","1","171866","133585","38281","171866","133585","38281","93","59.1","59.3","7916834","7893160","117.6","118","Hotel","Hotel","133585","Parking","38281","NA",,"1247790",,"36594","Compliant","No Issue","4257459","3659370","218.29","1.63","false"
"34","2025","Meany Middle School (Sps-District)","School","688000090","300 20TH AVE E","SEATTLE","WA","98112","47.622655551784","-122.30547139435","EAST","3","1955","1","1","126351","126351","0","119254","119254","0","70","35.8","36.3","4325434","4271134","58.9","59.4","K-12 School","K-12 School","119254","NA",,"NA",,"426168",,"28714","Compliant","No Issue","1454085","2871350","157.82","1.32","false"
"35","2025","Hotel Five","NonResidential","697000170","2200 5TH AVE","SEATTLE","WA","98121","47.615580246925","-122.34186023018","LAKE UNION","7","1978","5","1","68410","52210","16200","72610","52210","20400","88","62.9","63.3","3304596","3284242","126.3","127.4","Hotel","Hotel","52210","Parking","15400","NA",,"533208",,"14853","Compliant","No Issue","1819306","1485290","89.15","1.71","false"
"36","2025","Jane Addams Middle (Sps-District)","School","752000170","11031 34TH AVE NE","SEATTLE","WA","98125","47.709944864426","-122.29300903434","NORTH","5","1949","2","1","160645","160645","0","168709","168709","0","77","34.9","37.3","6299710","5892778","54.8","58.1","K-12 School","K-12 School","168709","NA",,"NA",,"532664",,"44823","Compliant","No Issue","1817451","4482260","229.96","1.36","false"
"37","2025","John Hay Elementary School (Sps-District)","School","809000005","201 GARFIELD ST","SEATTLE","WA","98109","47.632898480666","-122.35171659594","MAGNOLIA/QUEEN ANNE","7","1989","2","1","51582","51582","0","54946","54946","0","78","23.8","24.5","1347725","1305494","66.5","68.7","K-12 School","K-12 School","54946","NA",,"NA",,"394996",,,"Compliant","No Issue","1347725",,"7.57","0.14","false"
