OSEBuildingID,SiteEUI,DataYear,BuildingType,EPAPropertyType,LargestPropertyUseType,SecondLargestPropertyUseType,ThirdLargestPropertyUseType,Neighborhood,CouncilDistrictCode,ZipCode,YearBuilt,NumberofFloors,NumberofBuildings,PropertyGFATotal,PropertyGFABuilding,PropertyGFAParking,LargestPropertyUseTypeGFA,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseTypeGFA,Latitude,Longitude
50,32.0,2025,School,K-12 School,K-12 School,,,MAGNOLIA/QUEEN ANNE,6,98199,1990.0,2.0,1.0,54986.0,54986.0,0.0,52669.0,,,47.65671241326,-122.39047451662
51,36.5,2025,School,K-12 School,K-12 School,,,NORTHEAST,4,98115,1950.0,2.0,1.0,175565.0,175565.0,0.0,179513.0,,,47.682520092088,-122.29498266536
53,47.3,2025,NonResidential,Office,Office,Other - Education,,GREATER DUWAMISH,2,98144,1900.0,2.0,1.0,52554.0,52554.0,0.0,44695.0,7849.0,,47.58033623155,-122.31132232063
54,42.8,2025,School,K-12 School,K-12 School,Parking,,NORTHWEST,6,98103,1954.0,3.0,1.0,175015.0,175015.0,0.0,176621.0,,,47.688910582936,-122.33552591601
55,15.5,2025,NonResidential,Self-Storage Facility,Self-Storage Facility,Vocational School,,DOWNTOWN,7,98121,1911.0,3.0,1.0,70586.0,70586.0,0.0,42298.0,28197.0,,47.61351124724,-122.3512901673
56,41.1,2025,NonResidential,Hotel,Hotel,,,EAST,7,98101,1969.0,24.0,1.0,126240.0,126240.0,0.0,332210.0,,,47.609193828378,-122.33313074805
57,18.3,2025,NonResidential,Office,Office,Retail Store,,DOWNTOWN,7,98101,1973.0,5.0,1.0,165202.0,165202.0,0.0,103855.0,65676.0,,47.611303539008,-122.33659260581
60,162.2,2025,NonResidential,Mixed Use Property,Restaurant,Performing Arts,Office,DOWNTOWN,7,98101,1926.0,2.0,1.0,64597.0,64597.0,0.0,21292.0,15904.0,14011.0,47.608858335673,-122.33744341363
63,73.9,2025,NonResidential,Hotel,Hotel,Parking,Swimming Pool,EAST,7,98101,1982.0,34.0,2.0,1083197.0,926614.0,156583.0,994212.0,117668.0,,47.610869904038,-122.33338585636
65,92.2,2025,NonResidential,Hotel,Hotel,Parking,,DOWNTOWN,7,98101,1985.0,7.0,1.0,71150.0,57420.0,13730.0,57420.0,13730.0,,47.609967348807,-122.34137594226
66,34.1,2025,NonResidential,Hotel,Hotel,Other - Entertainment/Public Assembly,,DOWNTOWN,7,98101,1908.0,7.0,1.0,122810.0,122810.0,0.0,96360.0,26450.0,,47.611554420916,-122.34113865672
68,46.4,2025,NonResidential,Hotel,Hotel,Parking,,LAKE UNION,7,98109,2000.0,7.0,1.0,150453.0,115718.0,34735.0,115718.0,34735.0,,47.620013253179,-122.34274307382
69,57.4,2025,NonResidential,Hotel,Hotel,Parking,,LAKE UNION,7,98109,1997.0,6.0,1.0,116300.0,88100.0,28200.0,88490.0,28200.0,,47.62024939687,-122.34313720687
70,59.0,2025,NonResidential,Hotel,Hotel,Parking,,MAGNOLIA/QUEEN ANNE,7,98119,1998.0,6.0,1.0,155602.0,118858.0,36744.0,118858.0,36744.0,,47.620231876659,-122.35950632286
73,47.4,2025,School,K-12 School,K-12 School,,,NORTHEAST,3,98112,1911.0,3.0,1.0,56072.0,56072.0,0.0,67064.0,,,47.634422429426,-122.30792638359
77,36.4,2025,NonResidential,Hotel,Hotel,Parking,,LAKE UNION,7,98109,1999.0,4.0,1.0,122942.0,78051.0,44891.0,78096.0,44891.0,,47.625190444103,-122.34456175055
82,51.0,2025,NonResidential,Office,Office,,,CENTRAL,3,98122,1962.0,2.0,1.0,54984.0,54984.0,0.0,59221.0,,,47.608227797977,-122.30955617444
84,149.0,2025,Hospital,Senior Living Community,Senior Living Community,Parking,,SOUTHWEST,1,98126,1922.0,5.0,1.0,371257.0,296313.0,74944.0,296355.0,,,47.558374391824,-122.37751108851
86,57.7,2025,Hospital,Hotel,Hotel,Parking,,LAKE UNION,7,98109,2008.0,6.0,1.0,84103.0,63371.0,20732.0,63371.0,20732.0,,47.619881141603,-122.33210511407
87,24.7,2025,School,K-12 School,K-12 School,,,SOUTHWEST,1,98146,2016.0,3.0,1.0,78972.0,78972.0,0.0,89973.0,,,47.509734664622,-122.37850882975
95,305.1,2025,NonResidential,Hotel,Hotel,,,EAST,3,98104,1908.0,7.0,1.0,76631.0,76631.0,0.0,20000.0,,,47.608979634135,-122.32693259472
96,141.4,2025,NonResidential,Medical Office,Medical Office,Parking,,EAST,3,98104,1983.0,6.0,1.0,121099.0,96783.0,24316.0,96783.0,24316.0,,47.60845142319,-122.32636618563
100,50.2,2025,NonResidential,Office,Office,Parking,Other - Services,LAKE UNION,7,98109,2010.0,5.0,2.0,438093.0,287367.0,150726.0,271499.0,150726.0,10946.0,47.624239783773,-122.33645624039
102,63.5,2025,NonResidential,Hotel,Hotel,Parking,,LAKE UNION,7,98109,1990.0,7.0,1.0,282863.0,238097.0,44766.0,238342.0,51988.0,,47.62641636929,-122.33324902585
103,94.3,2025,NonResidential,Indoor Arena,Indoor Arena,,,MAGNOLIA/QUEEN ANNE,7,98109,1962.0,3.0,3.0,932000.0,932000.0,0.0,932000.0,,,47.62207926414,-122.35398171561
104,75.5,2025,NonResidential,Other,Other,,,MAGNOLIA/QUEEN ANNE,7,98109,1962.0,1.0,1.0,65127.0,65127.0,0.0,65000.0,,,47.62141185363,-122.3508583948
106,64.4,2025,NonResidential,Other,Other,,,MAGNOLIA/QUEEN ANNE,7,98109,1938.0,5.0,1.0,396085.0,396085.0,0.0,278500.0,,,47.62141185363,-122.3508583948
107,46.2,2025,NonResidential,Office,Office,Parking,College/University,LAKE UNION,7,98109,2010.0,12.0,1.0,571329.0,571329.0,0.0,598780.0,310699.0,21201.0,47.621124899899,-122.33629484404
110,45.1,2025,NonResidential,Social/Meeting Hall,Social/Meeting Hall,,,MAGNOLIA/QUEEN ANNE,7,98109,1962.0,2.0,1.0,52000.0,52000.0,0.0,54981.0,,,47.623947038278,-122.35143418375
112,57.8,2025,NonResidential,Performing Arts,Performing Arts,,,MAGNOLIA/QUEEN ANNE,7,98109,1928.0,2.0,1.0,262048.0,262048.0,0.0,296000.0,,,47.623947038278,-122.35143418375
113,43.8,2025,NonResidential,Other,Other,Parking,,MAGNOLIA/QUEEN ANNE,7,98109,1986.0,2.0,1.0,66240.0,63888.0,2352.0,55632.0,,,47.623910130361,-122.34837134179
114,53.8,2025,NonResidential,Office,Office,Parking,,LAKE UNION,7,98109,2010.0,6.0,1.0,920598.0,616891.0,303707.0,729584.0,185014.0,,47.62419131804,-122.34443044387
115,57.4,2025,NonResidential,Office,Office,Parking,Other,MAGNOLIA/QUEEN ANNE,7,98119,1970.0,4.0,1.0,76213.0,50283.0,25930.0,48546.0,21454.0,2406.0,47.620527315601,-122.35842039522
116,59.3,2025,NonResidential,Hotel,Hotel,Parking,Other - Restaurant/Bar,MAGNOLIA/QUEEN ANNE,7,98109,2002.0,6.0,1.0,127200.0,81560.0,45640.0,78094.0,45640.0,1758.0,47.622909792035,-122.35708127869
117,51.3,2025,NonResidential,Hotel,Hotel,Restaurant,Parking,NORTHEAST,4,98105,1962.0,4.0,2.0,71403.0,60953.0,10450.0,52953.0,8000.0,,47.657724589578,-122.31755510316
118,28.6,2025,School,K-12 School,K-12 School,,,DELRIDGE NEIGHBORHOODS,1,98106,1999.0,3.0,1.0,75364.0,75364.0,0.0,75364.0,,,47.562740989054,-122.35788245064
119,39.9,2025,School,K-12 School,K-12 School,,,EAST,3,98112,1923.0,3.0,1.0,67743.0,67743.0,0.0,67743.0,,,47.625478183622,-122.30827667396
120,38.4,2025,School,K-12 School,K-12 School,Parking,,EAST,3,98112,1908.0,6.0,1.0,168239.0,161514.0,6725.0,161514.0,94411.0,,47.626443907425,-122.3042942277
121,51.3,2025,NonResidential,Office,Office,Parking,,SOUTHEAST,2,98144,2003.0,3.0,1.0,99433.0,63681.0,35752.0,63681.0,35752.0,,47.584076189798,-122.30124900007
122,34.5,2025,School,K-12 School,K-12 School,,,SOUTHEAST,2,98144,1991.0,2.0,1.0,60725.0,60725.0,0.0,58602.0,,,47.573241348203,-122.29057986216
127,31.1,2025,School,K-12 School,K-12 School,,,SOUTHEAST,2,98118,1989.0,3.0,1.0,59955.0,59955.0,0.0,61327.0,,,47.554778724765,-122.275956418
130,32.0,2025,School,K-12 School,K-12 School,,,MAGNOLIA/QUEEN ANNE,7,98119,1964.0,2.0,1.0,93218.0,93218.0,0.0,94263.0,,,47.636826274092,-122.35895522816
131,101.5,2025,NonResidential,Data Center,Data Center,Office,,NORTHEAST,4,98115,1941.0,4.0,1.0,56521.0,56521.0,0.0,51285.0,12911.0,,47.675235418149,-122.31533508756
136,39.1,2025,Multifamily LR (1-4),Multifamily Housing,Multifamily Housing,,,NORTHWEST,5,98133,2001.0,4.0,1.0,51390.0,51390.0,0.0,53557.0,,,47.731406976751,-122.34579503119
137,29.9,2025,School,K-12 School,K-12 School,,,NORTHWEST,5,98133,1963.0,2.0,1.0,131013.0,131013.0,0.0,132672.0,,,47.724631099974,-122.35314866453
138,45.9,2025,School,K-12 School,K-12 School,,,NORTHWEST,5,98133,1959.0,1.0,1.0,245587.0,245587.0,0.0,269361.0,,,47.725699384722,-122.33683812584
139,43.6,2025,Multifamily LR (1-4),Multifamily Housing,Multifamily Housing,,,NORTHWEST,5,98133,2002.0,3.0,1.0,69138.0,69138.0,0.0,69138.0,,,47.725288470195,-122.34115371234
140,31.3,2025,School,K-12 School,K-12 School,,,LAKE UNION,6,98103,1991.0,3.0,1.0,66588.0,66588.0,0.0,65188.0,,,47.654635460439,-122.34912372248
141,35.5,2025,School,K-12 School,K-12 School,,,DELRIDGE NEIGHBORHOODS,1,98126,1926.0,3.0,,44324.0,44324.0,0.0,50742.0,,,47.532837659185,-122.37492741813
142,60.3,2025,University,College/University,College/University,,,MAGNOLIA/QUEEN ANNE,7,98119,1927.0,2.0,,82746.0,82746.0,0.0,82746.0,,,47.651149424406,-122.36037207314
144,31.1,2025,NonResidential,Hotel,Hotel,Enclosed Mall,,DOWNTOWN,7,98104,1904.0,5.0,2.0,182237.0,169037.0,13200.0,160264.0,19556.0,,47.604797963586,-122.33679617226
