OSEBuildingID,SiteEUI,DataYear,BuildingType,EPAPropertyType,LargestPropertyUseType,SecondLargestPropertyUseType,ThirdLargestPropertyUseType,Neighborhood,CouncilDistrictCode,ZipCode,YearBuilt,NumberofFloors,NumberofBuildings,PropertyGFATotal,PropertyGFABuilding,PropertyGFAParking,LargestPropertyUseTypeGFA,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseTypeGFA,Latitude,Longitude,BuildingAge,GFA_per_Floor,ParkingRatio,LargestUseRatio,SecondUseRatio,ThirdUseRatio,LogPropertyGFATotal
50096,28.5,2021,NonResidential,Office,Office,Parking,,DOWNTOWN,7,98104,2016.0,37.0,1.0,990000.0,788000.0,202000.0,812036.0,201230.0,,47.60647,-122.33135,5.0,26756.756756756757,0.20404040404040405,0.8202383838383839,0.20326262626262626,,13.805461232211272
50098,35.79999924,2021,Multifamily LR (1-4),Multifamily LR (1-4),Multifamily Housing,,,CENTRAL,3,98122,2014.0,4.0,1.0,20246.0,20246.0,0.0,20246.0,,,47.61791,-122.3023,7.0,5061.5,0.0,1.0,,,9.915761913411517
50099,37.79999924,2021,Multifamily HR (10+),Multifamily HR (10+),Multifamily Housing,Parking,,DOWNTOWN,7,98101,2019.0,39.0,1.0,559958.0,432000.0,127958.0,432000.0,151254.0,,47.61067,-122.33957,2.0,14357.897435897436,0.22851356708896026,0.7714864329110398,0.2701166873229778,,13.235618845745321
50101,103.0,2021,University,Museum,Museum,Parking,,NORTHEAST,4,98195,2018.0,1.0,3.0,116756.0,116756.0,0.0,116756.0,,,47.66061,-122.31062,3.0,116756.0,0.0,1.0,,,11.667850130907231
50130,69.0,2021,NonResidential,Office,Office,Parking,Retail Store,LAKE UNION,6,98103,2017.0,5.0,1.0,202081.0,123332.0,78749.0,108777.0,78749.0,14555.0,47.64963,-122.3484,4.0,40416.2,0.3896902727124272,0.5382841533840391,0.3896902727124272,0.07202557390353373,12.216428834605809
50149,26.89999962,2021,Multifamily MR (5-9),Multifamily MR (5-9),Multifamily Housing,Parking,,SOUTHWEST,1,98126,2016.0,6.0,1.0,195221.0,143460.0,51761.0,143460.0,48481.0,,47.56349,-122.37639,5.0,32536.833333333332,0.26514053303691715,0.7348594669630829,0.24833906188371127,,12.18189265152844
50152,20.39999962,2021,Multifamily LR (1-4),Multifamily LR (1-4),Multifamily Housing,,,NORTHEAST,4,98105,2016.0,4.0,1.0,22694.0,22694.0,0.0,22694.0,,,47.65673,-122.3201,5.0,5673.5,0.0,1.0,,,10.029899914890565
50153,35.79999924,2021,Multifamily MR (5-9),Multifamily MR (5-9),Multifamily Housing,Parking,,BALLARD,6,98107,2016.0,5.0,1.0,139342.0,101273.0,38069.0,101273.0,38069.0,,47.67562,-122.38728,5.0,27868.4,0.27320549439508546,0.7267945056049145,0.27320549439508546,,11.844693798422673
50154,49.5,2021,Multifamily MR (5-9),Multifamily MR (5-9),Multifamily Housing,,,DOWNTOWN,7,98121,2016.0,7.0,1.0,41706.0,40061.0,1645.0,41706.0,,,47.61251,-122.34166,5.0,5958.0,0.039442766028868745,1.0,,,10.638424259406456
50155,52.0,2021,Multifamily MR (5-9),Multifamily MR (5-9),Multifamily Housing,,,EAST,2,98122,2016.0,5.0,1.0,25020.0,25020.0,0.0,25091.0,,,47.60282,-122.31709,5.0,5004.0,0.0,1.002837729816147,,,10.127470751247781
50157,39.0,2021,Multifamily MR (5-9),Multifamily MR (5-9),Multifamily Housing,Parking,,SOUTHWEST,1,98116,2017.0,5.0,1.0,161999.0,161999.0,0.0,131353.0,15620.0,,47.57489,-122.38642,4.0,32399.8,0.0,0.8108259927530417,0.09642034827375477,,11.99535161421452
50158,20.79999924,2021,Multifamily MR (5-9),Multifamily MR (5-9),Multifamily Housing,,,EAST,3,98122,2016.0,7.0,1.0,310892.0,218012.0,92880.0,217503.0,,,47.61445,-122.32418,5.0,44413.142857142855,0.29875326479935155,0.699609510698249,,,12.647204080515149
50159,34.0,2021,Multifamily MR (5-9),Multifamily MR (5-9),Multifamily Housing,Parking,Retail Store,NORTHWEST,6,98117,2016.0,5.0,1.0,133881.0,99043.0,34838.0,89564.0,33673.0,9044.0,47.69034,-122.35842,5.0,26776.2,0.26021616211411625,0.6689821557950717,0.2515144045831746,0.06755252799127584,11.804714093964801
50160,39.90000153,2021,NonResidential,Office,Office,Parking,Convention Center,DOWNTOWN,7,98121,2016.0,37.0,2.0,1496961.0,1076961.0,420000.0,1023298.0,448625.0,59672.0,47.61523,-122.33835,5.0,40458.40540540541,0.2805684316425077,0.6835836070545592,0.2996905062990953,0.03986209393564696,14.218948278978047
50163,46.70000076,2021,Multifamily LR (1-4),Multifamily LR (1-4),Multifamily Housing,Restaurant,,CENTRAL,3,98122,2016.0,4.0,1.0,29549.0,24556.0,4993.0,20996.0,3445.0,,47.60594,-122.31477,5.0,7387.25,0.1689735693255271,0.7105485803242072,0.11658600967883855,,10.293839022834245
